Index,original_title,production_budget,worldwide_gross,imbd_id,budget,revenue,genres,producers,director,starring
4694,Digimon: The Movie,5000000,16628751,tt0259974,5500000,16643191,Fantasy,Terri-Lei OMalley,Yasushi Mitsui,Makoto Shibazaki
4695,Saved!,5000000,10206551,tt0332375,5000000,10100000,Comedy,Michael Ohoven,Sandy Stern,Michael Stipe
4699,The Forsaken,5000000,6755271,tt0245120,5000000,8704851,Action,Scott Einbinder,Carol Kottenbrook,J. S. Cardone
4706,Slums of Beverly Hills,5000000,5502773,tt0120831,5000000,5500000,Comedy,Michael Nozik,Stan Wlodkowski,Tamara Jenkins
4716,Keeping Up with the Steins,5000000,4414753,tt0415949,5000000,4409373,Comedy,A.D. Oppenheim,Scott Marshall,Daryl Sabara
4722,Table 19,5000000,4620399,tt1412528,5000000,3305592,Comedy,Shawn Levy,Tom McNulty,Mark Roberts
4724,Green Room,5000000,3807503,tt4062536,5000000,3220371,Horror,Neil Kopp,Victor Moyers,Anish Savjani
4728,Everything Must Go,5000000,2821010,tt1531663,5000000,2614773,Comedy,Marty Bowen,Wyck Godfrey,Dan Rush
4730,Rabbit Hole,5000000,6205034,tt0935075,5000000,5129058,Drama,Nicole Kidman,Leslie Urdang,Gigi Pritzker
4734,Zero Effect,5000000,2080693,tt0120906,5000000,1980338,Comedy,Lisa Henson,Jake Kasdan,Janet Yang
4735,A Midnight Clear,5000000,1526697,tt0102443,5000000,1526697,Drama,Bill Borden,Dale Pollock,Armyan Bernstein
4737,Light Sleeper,5000000,1050861,tt0102307,5000000,1050861,Drama,Linda Reisman,Mario Kassar,(executive)
4738,American Teen,5000000,989319,tt0486259,5000000,1130270,Documentary,Nanette Burstein,Chris Huddleston,Eli Gonda
4740,Party Monster,5000000,894030,tt0320244,5000000,742898,Comedy,Fenton Bailey,Randy Barbato,Jon Marcus
4742,The Oh in Ohio,5000000,648183,tt0422861,5000000,418689,Comedy,Matthew Leutwyler,Debra Grieco,Jun Tan
4744,Aint Them Bodies Saints,5000000,1075009,tt2388637,4000000,1031243,Crime,Cassian Elwes,Toby Halbrooks,James M. Johnston
4745,Albino Alligator,5000000,353480,tt0115495,6000000,339379,Crime,Bradley Jenkel,Brad Krevoy,Steven Stabler
4752,No Looking Back,5000000,143273,tt0119560,5000000,222099,Drama,Edward Burns,Edward Burns,Lauren Holly
4756,Desert Blue,5000000,99147,tt0126261,,,Comedy,Effie Brown,Michael Burns,Nadia Leonelli
4758,Stuck,5000000,67505,tt0758786,5000000,146154,Crime,Jay Firestone,Ken Gord,Stuart Gordon
4780,Lets Kill Wards Wife,5000000,0,tt2980708,5000000,,Comedy,James Carpinello,Scott Foley,Joe Hardesty
4795,Sling Blade,4833610,34175000,tt0117666,1000000,24444121,Drama,Larry Meistrich,David L. Bushell,Brandon Rosser
4796,Hostel,4800000,82241110,tt0450278,4800000,80578934,Horror,Chris Briggs,Mike Fleiss,Eli Roth
4799,Take Shelter,4750000,4972016,tt1675192,5000000,3099314,Thriller,Sophia Lin,Tyler Davidson,Jeff Nichols
4810,The Assassination of Richard Nixon,4600000,4880143,tt0364961,4600000,3537961,Drama,Alfonso Cuarón,Jorge Vergara,Niels Mueller
4812,Savage Grace,4600000,968805,tt0379976,4600000,,Drama,Pamela Koffler,Tom Kalin,Julianne Moore
4819,25th Hour,4500000,25344490,tt0307901,15000000,13060843,Crime,Tobey Maguire,Julia Chasman,Spike Lee
4823,Bound,4500000,7011317,tt0115736,4500000,7011317,Crime,Stuart Boros,Andrew Lazar,Lana Wachowski
4824,Requiem for a Dream,4500000,7389233,tt0180093,4500000,7390108,Crime,Eric Watson,Palmer West,Darren Aronofsky
4829,Donnie Darko,4500000,7510877,tt0246578,6000000,1270522,Fantasy,Sean McKittrick,Nancy Juvonen,Adam Fields
4833,Spun,4500000,1022649,tt0283003,2000000,1020000,Comedy,Chris Hanley,Fernando Sulichin,Timothy Wayne Peternel
4834,Life During Wartime,4500000,281447,tt0808526,4500000,744816,Comedy,Derrick Tseng,Christine K. Walker,Elizabeth Redleaf
4837,Maggie,4500000,1027760,tt1881002,4000000,187112,Horror,Colin Bates,Joey Tufaro,Matthew Baer
4839,After.Life,4500000,2481925,tt0838247,4500000,3606395,Drama,Bill Perkins,Brad Michael Gilbert,Celine Rattray
4857,Sexy Beast,4300000,10158355,tt0203119,5000000,10200000,Crime,Jeremy Thomas,Jonathan Glazer,Ray Winstone
4866,Love and Death on Long Island,4030000,2542264,tt0119574,,2581012,Drama,Steve Clark Hall,Christopher Zimmer,Richard Kwietniowski
4870,Lost in Translation,4000000,117085297,tt0335266,4000000,119723856,Drama,Sofia Coppola,Ross Katz,Sofia Coppola
4872,The Boy Next Door,4000000,53401938,tt3181822,4000000,52425855,Thriller,Jason Blum,John Jacobs,Elaine Goldsmith-Thomas
4874,Leaving Las Vegas,4000000,49800000,tt0113627,3600000,49800000,Drama,Lila Cazès,Annie Stewart,Mike Figgis
